home_team, away_team, home_team_fifa_rank, away_team_fifa_rank, neutral_location
123,146,183,170,1
130,94,122,57,0
197,196,56,19,0
207,2,26,78,0
35,96,172,96,0
143,190,112,22,0
208,217,131,74,1
3,142,76,31,0
106,208,109,131,0
125,206,117,32,0
128,96,152,96,0
116,202,111,62,0
18,103,103,46,1
91,159,49,124,0
157,116,192,111,1
192,116,155,111,1
136,12,13,68,1
159,49,124,54,1
65,147,66,8,0
67,197,123,58,0
76,102,73,4,0
120,101,144,47,0
162,60,51,45,0
211,203,109,80,0
227,78,67,61,0
2,77,79,9,0
48,218,174,173,1
115,51,96,19,0
121,169,92,12,0
122,170,142,18,0
178,20,165,30,0
197,187,58,38,0
218,188,173,138,1
104,70,44,1,0
125,226,119,56,0
136,49,13,54,0
142,73,26,99,0
144,153,87,50,0
150,12,81,50,0
127,16,110,119,0
127,186,110,30,0
117,226,127,58,0
95,217,113,64,1
16,217,119,64,1
144,3,93,83,0
91,49,51,47,0
118,78,68,62,0
193,153,118,45,0
62,60,87,44,1
65,121,77,97,1
185,180,107,27,0
60,42,44,35,1
28,136,2,15,1
25,216,66,40,1
91,49,51,47,1
184,118,134,68,0
25,49,69,33,1
127,180,109,29,0
144,181,98,70,0
42,136,31,13,1
28,91,2,48,1
119,226,114,60,0
126,227,120,68,0
216,91,30,48,1
180,167,29,90,0
213,180,67,29,1
185,202,108,61,0
13,197,43,62,0
60,9,50,3,0
93,77,54,5,0
115,212,95,47,0
121,101,94,44,0
122,76,143,79,0
44,162,14,53,0
226,6,60,56,0
126,227,119,65,0
213,167,64,88,0
2,69,86,55,0
5,165,145,9,1
19,212,87,48,0
130,31,133,50,0
186,207,40,33,0
103,136,52,12,0
42,219,35,110,0
162,216,43,24,0
31,55,50,18,0
53,165,74,9,0
67,170,122,20,0
93,169,54,14,0
120,191,151,8,0
122,197,144,60,0
178,51,159,17,0
207,196,33,19,0
180,213,36,64,0
202,180,62,36,0
16,180,112,35,0
156,167,91,83,0
217,213,65,66,0
227,6,67,55,0
104,181,28,69,1
167,213,83,66,0
98,180,72,35,1
10,155,96,23,0
25,60,78,46,0
138,207,100,34,0
112,167,71,79,0
22,88,158,185,1
13,207,53,34,0
103,49,52,29,0
54,20,10,33,0
80,53,57,78,0
115,170,97,21,0
161,44,13,8,0
66,226,152,63,0
34,201,136,149,1
211,201,116,149,1
211,34,116,136,1
32,203,79,69,0
171,66,144,155,0
108,66,104,155,1
181,32,65,78,0
180,227,31,68,0
16,69,110,46,0
52,85,76,67,0
61,129,41,112,0
32,36,78,38,0
167,227,80,68,0
206,36,28,38,0
167,98,80,72,0
90,37,82,93,1
62,136,86,9,1
112,156,76,90,1
60,90,38,82,1
61,181,41,68,1
213,167,60,80,1
3,153,74,40,1
37,60,93,38,1
85,62,59,86,1
156,167,90,80,1
32,142,78,36,1
112,167,76,80,1
213,16,60,110,1
118,153,73,40,1
32,78,78,61,1
180,28,32,3,0
129,36,108,37,0
153,181,40,68,1
129,153,108,40,0
67,164,118,31,1
181,36,68,37,1
187,91,27,25,1
207,60,23,38,1
53,54,82,15,0
121,106,96,100,1
180,55,34,20,0
4,204,201,173,1
134,125,124,122,0
177,160,172,197,0
4,160,201,197,1
31,60,52,37,1
122,115,145,107,0
138,93,102,68,0
164,104,33,38,0
165,69,6,47,0
27,190,143,36,0
117,143,135,130,0
77,9,12,3,0
93,19,68,88,0
164,169,38,16,0
93,51,68,23,0
49,44,27,4,0
197,37,64,75,0
170,19,28,88,0
196,161,19,18,0
70,20,1,23,0
103,153,57,27,1
201,108,152,106,0
178,65,159,86,0
185,216,113,24,0
60,181,36,42,1
127,28,112,2,0
70,181,1,42,1
216,55,24,20,1
51,136,21,7,1
5,10,141,101,0
102,51,6,21,1
36,77,17,11,1
187,161,25,18,1
190,191,37,8,1
49,28,29,2,1
196,181,19,42,1
104,207,32,22,0
181,207,42,22,1
77,28,11,2,1
68,218,127,170,1
127,185,111,113,0
11,194,186,146,0
41,211,175,121,1
82,103,138,59,0
28,161,1,19,0
102,187,9,34,0
115,19,102,84,0
121,101,99,55,0
122,142,147,41,0
155,147,35,14,0
169,80,27,49,0
27,117,137,138,0
61,119,44,120,0
95,103,130,57,1
116,106,98,96,1
198,98,95,60,0
122,101,147,55,0
198,106,95,96,0
14,102,117,9,0
20,31,18,58,0
53,70,83,4,0
73,142,107,41,0
80,191,49,3,0
94,93,54,71,0
106,98,96,60,1
121,77,99,5,0
144,3,108,82,0
178,164,162,37,0
63,184,191,144,0
117,181,138,29,0
193,226,119,66,0
126,190,96,33,0
5,20,140,19,0
19,13,78,56,0
64,227,170,60,0
130,101,120,52,0
134,125,130,112,0
138,54,107,17,0
164,115,35,97,0
169,155,26,38,0
201,193,149,117,0
13,147,56,12,0
65,20,67,19,0
122,169,148,26,0
130,70,120,2,0
196,165,22,11,0
201,211,150,108,0
201,190,150,30,0
82,18,135,112,0
82,103,135,60,0
39,151,173,192,0
190,181,30,31,0
13,155,53,28,0
77,147,4,10,0
104,9,22,5,0
142,129,35,78,0
169,51,21,36,0
178,115,161,87,0
39,52,174,90,0
192,220,140,120,0
58,52,153,90,1
189,211,195,107,1
189,171,195,130,1
16,106,105,85,0
66,189,131,195,1
16,198,105,94,0
193,108,106,86,1
211,108,107,86,1
201,108,152,86,0
78,153,59,27,0
213,61,80,40,0
225,198,146,94,1
185,127,118,128,0
202,127,66,128,1
112,106,83,77,0
198,180,91,38,1
152,32,184,75,0
220,202,108,66,1
106,16,77,105,1
95,157,127,178,1
146,128,168,151,1
157,128,172,151,1
157,95,172,125,1
211,3,108,65,0
156,155,100,25,0
53,80,83,48,0
91,9,40,5,0
136,9,9,5,1
159,62,130,99,0
3,20,65,16,0
53,170,83,23,0
61,55,39,12,0
70,54,2,15,0
87,129,121,74,1
119,37,94,70,0
187,197,36,44,0
53,186,83,56,0
91,62,40,99,1
167,196,63,24,1
62,85,95,81,1
202,196,54,26,0
159,151,130,184,0
159,49,130,22,0
84,123,200,188,1
27,117,131,133,0
144,27,126,131,0
123,157,188,171,1
171,226,125,68,0
126,153,99,30,0
134,61,130,40,0
169,55,24,11,0
201,226,155,72,0
64,129,161,78,0
93,196,56,23,0
101,70,43,3,1
122,155,153,26,0
138,147,116,6,0
84,140,201,189,1
125,129,101,79,1
5,65,142,65,0
